check-migration-immutability: 685 sealed entries against a journal of 685 — 0 newly appended, 17 comment-only edit(s)

CHANGED after sealing — the statements differ, so a cold build and a warm database disagree:
  0291_payroll_phase0_safety  effective d6c7eddb04b1 -> babbb0768232
  0292_payroll_phase1_2_foundation  effective 629ea1a739f2 -> 29a961ebf447
  0293_payroll_prd_ship_constraints  effective 8656c4e1c6bb -> be1dd8fc1119
  0294_payroll_journal_outbox  effective d57347316454 -> e98808fba8d7
  0295_hrms_perf_indexes  effective 7f23e0c33e7a -> 4f95cd80894c
  0297_hr_disciplinary_acknowledge  effective 32419b332e3d -> 8dac3fff21eb
  0298_payroll_runs_entity_uniqueness  effective 5b2b9b734d75 -> 605e92bde45b
  0299_onboarding_template_org_departments  effective 6923204d7203 -> 0f03306f3240
  0016_volatile_nicolaos  effective 62679fe908c9 -> 38c14ddb8def
  0301_inv_stock_levels_natural_key  effective 9a7984faa747 -> 02b37ec1deae
  0302_inv_perf_indexes  effective 172250191455 -> cd0801612fb7
  0303_inv_name_uniqueness  effective 32b2b899c3f2 -> 8dfb3270a738
  0304_inv_status_enums  effective 2eeb4d74aa70 -> 51c8dc882e0f
  0305_outbox  effective 2823a8244eb9 -> 0ef3844a41a2
  0306_chat_org_id  effective faf9e593cfff -> 3dbd72cad8e9
  0307_recon_additive_foundation  effective 3681c1125b94 -> f0a47822230f
  0308_recon_idempotency_fences  effective 0ac2a51fdb14 -> d074f46f2f5b
  0309_recon_project_teams  effective 3e0c52052fe9 -> d35d60c5e4db
  0310_recon_owner_pointer  effective c890600783e3 -> 12fb4be57bde
  0311_recon_owner_fk_trigger  effective e00648bf5ce3 -> e05642b71a03
  0312_recon_org_modules_fk  effective 3a0c42e67338 -> 28fde5efa65c
  0313_recon_org_modules_backfill  effective 1c19511ebf94 -> c8cb0635bc33
  0314_recon_org_invitation_lifecycle  effective 1646bcc41c6d -> cd7c9b80ab6e
  0315_recon_pm_workspaces  effective f13ac3e305f3 -> e87189623544
  0316_recon_offer_fulfillment  effective a6061ebed559 -> 348c14873788
  0317_recon_party_overlays  effective adb6c2fec017 -> 79f59b4014ef
  0318_recon_managed_product_fields  effective a2652ec7f24f -> 9655d128d3e0
  0319_recon_email_orgid  effective c21057fb2c24 -> fd724f288d37
  0320_recon_phase_a_orgid  effective ea0c8dc79226 -> 50c3814e4a22
  0321_recon_defect_fks  effective ef449fedd86c -> 020365553c31
  0322_recon_phase_c_candidate_keys  effective 7f1520469df9 -> 0f650ea39b30
  0323_recon_phase_d_composite_fks  effective f978c5dc8071 -> 631c419a637a
  0324_recon_directory_party_fks  effective b121713ff9bb -> c82107edc828
  0326_recon_owner_not_null  effective 46694cceb77b -> fcf637fc5ddf
  0327_recon_decouple_projects_crm  effective 403399c298c7 -> c8f79bd310cc
  0300_timesheets_launch_grade  effective a5e731e4a0e5 -> fbac5330ed91
  0328_membership_role_assignments  effective 31296d195e39 -> 11dc56362b0f
  0329_owner_exactly_one  effective 347db01ee4da -> 48d8ed9c2ef3
  0330_worker_engagement_overlap  effective 1709a646244b -> 217c7cb4e226
  0331_pm_workspace_id_nullable  effective 59b5dfd49d78 -> e94e527b8e8d
  0332_pm_workspace_id_backfill  effective 45a8e299fab8 -> fbeb0bb1d910
  0333_pm_workspace_id_not_null  effective d51b369bc6b5 -> 496c2bedc335
  0334_drop_dead_schema_objects  effective 7121aa6e1a95 -> a03fa987657c
  0335_org_arrays_and_invites  effective eee4c7cf6eb4 -> f50225c0ef12
  0336_kb_hr_array_normalization  effective f7facab8c143 -> 76728884add4
  0337_modules_catalog  effective e5beef70788f -> 5075b95ac921
  0338_module_ownership  effective dd0abd09764e -> 45e0dd7d2a89
  0339_remaining_array_normalization  effective f73facbbc100 -> 3ae864b788e6
  0340_module_scoped_roles  effective 536103821dbf -> a3c938631f93
  0341_org_units_consolidation  effective 08fd6b0f2858 -> d26e69c833db
  0342_role_assignment_collapse  effective b447f2def258 -> a5e9b0e8d496
  0343_module_admin_roles  effective fabefe6e2e41 -> 41e5a47dece0
  0344_org_consolidation_finish  effective b9b5da679f3d -> e9f24a6ab25c
  0345_payroll_generation_collapse  effective e7cd61d24ab6 -> 116b1ede5fe0
  0346_invitation_events  effective 0cb1b609b242 -> 499506b46c35
  0347_fk_repairs  effective 008fc1daa10f -> 17fd50148c36
  0348_drop_polymorphic_tables  effective bbe3be854313 -> aca1b6167921
  0349_retire_legacy_org_tables  effective f433c867908e -> 1b421165b1b3
  0350_retire_departments  effective 5dc625ea46fa -> a003a626bf9a
  0352_custom_fields_consolidation  effective eced9e5078c7 -> 2e75ce9cc17f
  0353_billing_idempotency  effective d0a09ed95f3a -> 71010a3d1378
  0354_drop_dead_types  effective abba7e30476d -> ef9ad4c6cd87
  0355_journal_lines_hardening  effective 2feb2d2f68bf -> 204ea257442e
  0356_search_and_notification_indexes  effective 0fd464786e4a -> 2f236be24600
  0357_idempotency_schema  effective b0d2941330e6 -> bdb7b0099894
  0358_csat_and_client_slug  effective 64d9d2a2ef01 -> 8249a38e1f79
  0359_exit_checklists_org_id  effective 29992a04218f -> 648f6ccc0c87
  0360_workflow_variables_org_id  effective 004fb9808dea -> f2cde5ceac6d
  0361_roles_durability_fields  effective 3a379a8d585f -> dd882ecb127e
  0362_org_owner_uniqueness  effective 3104898896ed -> 68323f42ac7e
  0363_collapse_role_zoo  effective 258e047e83ef -> 6087f492dd73
  0364_drop_dead_tables  effective 1903daca3327 -> 7451361ad1e2
  0365_drop_orphan_enum  effective c7e9474ab8db -> 7840329576b9
  0366_role_column_defaults  effective f63a6241c8d7 -> 0535fc4f0e56
  0367_drop_dead_user_preferences  effective 56c8d17b9ec9 -> ee00d7e2235a
  0368_rename_ceo_to_final  effective 064cf5831b51 -> 86feb40abfb8
  0369_drop_platform_admin  effective 51a61193f937 -> 016948100e51
  0370_build_project_members_org_id  effective 039b78a5c002 -> 755c917ed099
  0371_build_status_check_constraints  effective 1e197906b799 -> eade16526054
  0372_build_pk_widening_round2  effective 92aee9b42a1a -> 9c8c34280442
  0374_build_partial_indexes  effective 4df6c500346b -> dc7a100555a1
  0375_build_drop_dead_reports  effective c908cd763f01 -> c51b4dcdfd6b
  0370_tenant_column_integrity  effective b7a27c9ad061 -> 221883a32d31
  0371_drop_users_role  effective 1c8fb75f94fe -> 03e8e7a2a709
  0372_timesheets_module  effective 15ea165dabd1 -> 061d3211e0e6
  0373_resource_grants  effective 9519e07709b7 -> b930b725e5d9
  0374_tenant_guc_helper  effective 69c1ab7de39b -> f19942ade188
  0375_rls_canary_projects  effective 5535ec379c82 -> 1515ea94addf
  0376_rls_payroll_and_pii  effective 08bc151e28c4 -> 6bde65abbe58
  0377_rls_financial  effective 64f897a523c0 -> a91414e82491
  0378_rls_remaining_tenant_tables  effective e691f5d070b3 -> 73ab10936455
  0379_drop_users_department_id  effective e9991340e6ff -> b8823adae408
  0380_rls_with_check_nullable_tenant  effective 348e55f0fe60 -> 2ec6e6729d4d
  0381_rls_read_predicate_nullable_tenant  effective f72542204ec4 -> aa0b57e70c1f
  0383_rls_org_members_identity_read  effective 95f060490eee -> 185a648c937f
  0382_drop_user_permissions  effective 5c6de37c5f6d -> aa13e84a6770
  0384_rls_public_token_read  effective 9c449f93ac94 -> 658a07c62353
  0385_intake_project_org_resolver  effective fd3385ca9ac3 -> 34a72796abb3
  0386_survey_session_org_resolver  effective ef88f19bceab -> 79d3c0e0ae3c
